"GDP per capita","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
"Bhutan","475.645","576.054","645.038","703.309","765.269","800.973","854.752","1017.343","1174.526","1264.384","1415.019","1537.368","1626.439","1747.92","1850.042","2014.323","2156.74","2280.015","2384.716","2519.804","2681.495","2847.391","3077.62","3366.331","3629.338","3921.261","4251.74","4867.447","5439.096","5727.858","6266.929","6943.475","7599.81","7894.249","8382.376","9238.773","10067.515","10851.904","11477.513","12131.801","12059.621","11928.453","12766.061","13654.331","14858.706","15874.925","16945.846"
"Bolivia","2072.068","2101.363","2099.493","2050.721","2077.098","2063.79","2009.207","2066.485","2156.587","2278.521","2422.799","2582.74","2630.192","2729.451","2836.766","2972.502","3097.249","3242.295","3377.019","3374.626","3470.084","3539.325","3617.847","3717.463","3907.094","4134.233","4387.731","4632.349","4930.075","5050.833","5235.017","5533.243","6001.991","6604.731","7039.772","7116.485","7489.875","8406.743","8841.137","9064.103","8343.912","8832.325","9274.141","9700.477","10119.984","10524.063","10924.163"
"Bosnia and Herzegovina","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","3031.255","3815.571","4396.23","4924.592","5247.082","5482.975","5844.949","6181.555","6739.797","7238.313","7877.602","8586.571","9262.916","9301.99","9564.505","9971.438","10292.31","11003.757","11410.811","12013.848","13069.486","13836.658","14831.5","15627.11","15046.922","15935.113","16892.726","17847.907","18861.331","19889.209","20942.048"
"Botswana","1892.656","2200","2610.331","2898.262","3084.572","3305.058","3532.05","4011.153","4944.471","5189.404","5645.923","6021.481","5972.388","6186.448","6105.218","6506.407","6847.432","7357.726","7339.317","8011.08","8211.589","8287.645","8812.941","9278.772","9669.607","10294.855","11340.974","12435.689","13280.947","12191.289","13220.285","14252.702","13590.476","14707.712","16300.842","15547.176","17260.301","17253.311","18080.665","18571.806","16892.806","18112.631","19123.509","19972.359","20749.531","21531.807","22325.376"
"Brazil","4817.188","4930.733","5152.984","5062.878","5408.597","5897.099","6341.153","6603.718","6729.604","7091.067","6843.679","7028.213","7039.027","7422.489","7860.568","8250.941","8342.747","8639.157","8631.408","8665.36","9114.217","9312.633","9623.739","9793.102","10510.545","11056.419","11711.223","12622.458","13383.877","13331.377","14359.919","15109.717","15120.062","15669.155","15800.053","14816.27","14326.076","14596.869","15090.646","15454.34","14916.285","15642.669","16307.129","16934.313","17540.213","18150.345","18765.312"
"Brunei Darussalam","no data","no data","no data","no data","no data","59269.915","57640.693","57349.584","57295.768","59644.801","60795.877","63068.036","65876.297","66082.248","67736.607","70694.013","72251.808","70685.174","69288.932","70743.899","72579.239","74365.263","75877.846","78302.31","78546.619","81579.402","86052.812","83774.784","80978.478","78971.325","80659.868","84000.908","88311.695","84019.147","81806.01","62921.9","56638.26","60280.819","59959.59","61032.097","62371.126","64405.041","67383.768","70347.295","73192.011","76009.299","78826.08"
"Bulgaria","5344.101","6141.551","6775.423","7233.851","7825.851","8212.798","8824.951","9480.93","10077.74","10466.31","9932.528","9241.919","8746.502","8005.423","7970.773","8098.852","7663.699","6741.118","7159.128","6692.728","7096.954","7776.009","8417.587","9067.071","9962.349","11067.825","12240.996","13462.519","14624.053","14318.893","14680.994","15712.489","16295.04","16633.461","17614.336","18410.191","20090.845","21533.74","22895.027","24333.46","23817.48","25471.395","27358.209","29243.462","30997.021","32763.677","34520.212"
"Burkina Faso","376.154","412.874","433.773","434.271","445.587","498.604","535.066","532.934","568.6","587.874","590.291","648.024","646.684","666.61","671.238","704.865","775.102","815.261","860.233","910.582","921.941","976.159","1005.431","1072.468","1117.465","1215.57","1291.484","1339.74","1401.956","1411.127","1502.103","1586.572","1619.4","1683.107","1692.304","1713.519","1893.696","2053.505","2182.749","2282.256","2262.427","2333.815","2439.829","2559.921","2681.441","2804.435","2931.876"
"Burundi","314.08","374.635","382.385","400.391","403.654","452.24","462.776","486.073","513.486","525.422","547.881","582.097","584.715","562.213","542.822","500.928","460.809","463.089","481.99","480.234","485.16","489.374","493.993","503.569","520.973","558.123","588.489","606.95","628.109","636.04","655.448","675.193","684.554","734.995","772.157","838.038","793.743","770.707","778.561","783.324","759.861","772.31","795.249","818.89","841.342","856.597","872.514"
"Cabo Verde","782.471","914.729","980.589","1093.61","1151.328","1263.444","1298.586","1359.568","1461.027","1570.537","1604.09","1642.717","1690.349","1812.894","1986.465","2124.195","2252.055","2409.1","2583.279","2869.758","3083.501","3279.429","3442.203","3703.295","3926.216","4221.421","4684.273","5192.578","5584.942","5497.446","5582.188","5858.702","5719.978","5699.74","5658.987","5902.474","6224.242","6535.104","7028.954","7470.874","6424.051","6836.525","7320.909","7846.894","8402.97","8993.94","9614.002"
"Cambodia","no data","no data","no data","no data","no data","no data","no data","516.019","569.069","593.094","602.464","647.505","684.44","703.637","745.915","781.685","818.513","842.784","870.077","971.9","1065.393","1158.306","1230.681","1336.495","1489.633","1712.592","1925.829","2149.049","2305.049","2299.074","2437.75","2635.942","2912.07","3109.918","3271.872","3500.583","3816.848","4097.525","4466.82","4832.715","4695.073","4929.958","5289.924","5693.429","6136.512","6610.248","7119.028"
"Cameroon","1174.646","1462.488","1624.577","1755.687","1903.753","2068.039","2192.474","2137.422","1980.689","1962.4","1852.721","1788.201","1720.732","1655.953","1601.365","1642.964","1707.42","1779.341","1836.045","1885.427","1941.699","2017.008","2079.763","2156.692","2302.115","2357.042","2444.751","2562.266","2629.883","2634.676","2681.886","2773.896","2855.446","3002.611","3185.384","3260.524","3405.056","3554.522","3690.068","3801.233","3646.457","3744.817","3896.006","4074.18","4277.511","4488.236","4708.515"
"Canada","11811.175","13212.081","13419.73","14165.181","15397.141","16484.219","17009.216","17912.794","19106.392","19969.62","20437.593","20425.824","20828.585","21639.361","22848.657","23708.184","24278.61","25497.628","26561.307","28109.07","29948.823","30827.612","31912.903","32782.558","34380.257","36242.955","37940.238","39380.061","40120.824","38797.825","40013.186","41716.377","42351.123","44360.366","45811.988","44702.516","46554.082","48688.071","50367.025","51481.186","48720.435","51712.958","54755.013","56633.967","58010.222","59379.943","60815.232"
"Central African Republic","441.695","530.053","529.356","504.528","561.08","584.452","617.831","620.062","640.232","676.882","696.834","698.633","663.522","655.139","735.486","756.933","707.225","732.673","749.601","766.734","741.513","763.749","778.77","762.758","769.682","803.037","851.367","892.914","916.614","931.512","967.042","1012.657","1102.13","738.466","720.351","787.043","851.014","912.808","955.87","985.154","979.403","1013.187","1067.02","1122.984","1178.863","1235.379","1291.489"
"Chad","411.924","393.594","430.553","505.251","537.078","581.645","610.557","628.64","677.774","695.175","720.655","796.635","808.077","784.496","818.202","801.796","806.058","837.159","874.371","849.932","830.144","912.061","967.138","1087.359","1436.838","1547.157","1549.081","1587.919","1613.79","1638.312","1821.018","1799.697","1735.752","1574.013","1684.135","1820.077","1682.038","1600.064","1626.285","1654.192","1611.004","1621.106","1652.148","1687.807","1749.536","1813.796","1865.922"
"Chile","3440.815","3934.965","3552.338","3531.257","3813.677","3950.21","4180.863","4487.759","4900.423","5539.062","5859.992","6407.342","7115.84","7651.69","8086.043","8854.89","9502.083","10243.892","10671.715","10643.211","11326.488","11820.889","12244.258","12846.471","13996.68","15109.132","16383.206","17467.926","18244.167","17894.823","18952.401","20305.816","21447.3","22386.471","22744.841","22680.796","22751.41","23718.003","24744.424","24969.159","23366.265","24928.247","26194.895","27246.441","28252.303","29247.886","30279.192"
"China, People's Republic of","307.427","348.844","397.45","451.606","532.056","614.196","671.815","756.363","857.2","914.403","971.467","1074.693","1241.195","1432.326","1635.15","1833.82","2032.527","2234.437","2415.568","2623.65","2888.247","3176.646","3496.303","3898.656","4384.367","5003.566","5780.711","6737.355","7493.087","8214.981","9166.173","10194.583","11179.474","11962.311","12575.256","13007.476","13525.398","14253.897","15518.553","16659.476","17191.694","18931.083","20391.664","21944.687","23549.092","25211.979","26912.732"
"Colombia","2763.072","3025.954","3173.743","3279.141","3438.347","3682.231","3894.338","4118.644","4346.161","4575.84","4851.562","5030.104","5263.445","5589.157","5895.783","6226.645","6367.354","6612.56","6622.158","6354.313","6587.466","6758.021","6949.15","7264.14","7761.275","8277.888","8992.865","9739.767","10134.311","10206.747","10663.875","11507.75","11888.044","12558.81","13113.558","13077.998","13787.121","14202.927","14754.668","15344.56","14323.895","15184.177","15945.991","16800.056","17652.369","18524.677","19385.72"
"Comoros","913.256","1028.597","1109.465","1161.285","1240.975","1276.358","1289.019","1307.694","1378.314","1375.416","1489.802","1493.259","1605.042","1649.194","1583.195","1671.79","1658.152","1724.261","1707.545","1742.27","1727.203","1822.363","1896.252","1928.458","1992.995","2120.299","2091.556","2110.795","2180.45","2210.24","2260.601","2341.013","2510.017","2628.368","2700.604","2684.323","2826.352","2980.06","3078.857","3108.118","3048.01","3022.282","3087.712","3157.539","3226.749","3290.17","3351.577"
"Congo, Dem. Rep. of the","807.842","864.109","884.153","901.969","948.488","951.626","984.131","1002.332","1009.197","1002.468","940.635","861.878","759.158","646.803","597.889","607.323","589.727","527.211","502.437","480.697","438.31","426.097","432.288","450.464","478.193","506.78","532.457","562.459","589.641","591.614","620.695","655.852","657.466","741.084","837.168","893.471","951.455","1046.712","1098.166","1129.689","1106.371","1132.13","1175.836","1222.013","1270.672","1318.66","1354.72"
"Congo, Republic of ","1928.418","2101.154","2216.331","2287.616","2353.804","2411.1","2441.883","2483.836","3040.903","3606.193","3665.264","3802.305","3952.728","3999.62","3929.533","4069.271","4184.025","4110.677","4418.516","4212.176","4695.051","4455.253","4458.854","4451.202","4450.754","4889.879","5307.515","4965.492","5250.05","5761.657","6251.383","6363.661","7436.64","7123.201","6959.386","5444.904","4484.127","4986.526","4661.515","4600.225","4187.539","4168.837","4200.869","4400.995","4471.819","4572.575","4592.002"
"Costa Rica","3564.016","3700.306","3536.686","3673.052","3994.609","4028.993","4210.914","4396.18","4582.595","4903.485","5143.034","5313.446","5805.182","6201.786","6428.8","6644.775","6675.359","6982.339","7383.448","7621.337","8151.52","8308.833","8578.869","8972.714","9470.359","10000.888","10894.583","11934.12","12558.38","12360.476","12930.107","13605.863","14367.698","15034.637","16076.627","17079.776","18503.17","19711.653","20370.694","20962.399","19990.085","20666.668","21605.252","22542.168","23482.765","24454.898","25470.817"
"Croatia","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","8211.761","7910.513","8745.034","9673.437","10333.64","11019.144","11529.697","11451.915","12626.517","13519.638","14513.302","15612.32","16198.434","17410.85","18841.861","20346.966","21144.913","19768.072","19784.286","20802.559","21166.624","21818.885","22062.903","23009.132","24876.122","26775.702","28436.601","29925.367","27717.422","29777.291","32224.389","34578.552","36795.588","38790.626","40582.348"
"Cyprus","5920.975","6595.898","7360.273","7950.657","8844.799","9446.311","9865.029","10713.268","11888.895","13161.322","14363.296","14569.144","15877.59","15970.131","16916.459","18796.909","19056.778","19599.549","20754.196","21858.633","23418.351","24626.207","25653.346","26508.058","28226.976","30095.099","31990.05","33890.317","34960.599","33624.805","33760.821","33755.233","31905.778","30237.191","29887.398","31848.169","35851.987","38277.365","40800.492","42236.155","40107.126","41595.461","43694.842","45553.992","47279.683","48906.988","50496.712"
"Czech Republic","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","14174.618","15104.59","15303.513","15435.579","15889.863","16913.961","17891.082","18515.259","19551.287","21038.657","23118.144","25368.033","27418.366","28455.037","27120.678","28007.231","29027.244","29269.604","30812.679","32542.452","33933.429","36136.77","39031.087","41125.232","42668.037","40618.05","42955.917","45693.638","48346.58","50906.133","53414.544","55786.203"
"Côte d'Ivoire","2588.113","2866.673","2936.16","2830.927","2796.244","2877.177","2959.741","2905.177","3013.802","3098.363","3054.498","3037.267","2981.328","2772.585","2754.116","2884.725","3088.956","3237.857","3348.682","3364.507","3283.203","3274.154","3187.611","3121.503","3162.791","3233.37","3296.024","3357.027","3420.412","3468.373","3488.872","3302.872","3562.747","3833.793","4236.545","4557.772","4628.93","4729.649","5045.728","5317.597","5365.105","5641.571","5986.882","6350.532","6717.059","7082.519","7454.532"
"Denmark","11883.101","12916.874","14232.896","15181.921","16399.822","17599.542","18814.65","19296.876","19958.432","20871.974","21947.863","22957.678","23868.342","24348.48","26112.861","27367.361","28485.216","29784.343","30671.406","31918.858","33751.157","34650.402","35236.95","35929.308","37781.731","39769.319","42449.751","43827.287","44218.389","42095.783","43199.113","44482.796","44892.724","46829.474","48039.691","49264.513","52159.798","55673.456","57924.05","60378.899","58932.766","61478.431","64468.41","66945.136","69368.727","71789.971","74230.9"
"Djibouti","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","3460.268","3324.783","3326.522","3088.958","3027.24","2901.878","2767.241","2704.997","2663.967","2705.571","2709.903","2742.207","2797.36","2860.017","2936.399","3037.022","3190.57","3346.926","3511.781","3497.811","3584.951","3819.785","3865.855","3967.32","4106.503","4357.072","4417.631","4545.093","4912.055","5228.334","5096.106","5300.019","5559.916","5862.636","6171.682","6488.877","6816.421"
"Dominica","no data","2045.923","2270.168","2428.116","2630.774","2762.482","3028.322","3310.87","3708.896","3860.835","4237.604","4455.942","4649.628","4862.3","4967.4","5224.799","5485.212","5701.263","5982.52","6089.932","6371.192","6506.294","6426.815","6966.997","7378.048","7663.205","8268.796","9036.828","9875.588","9841.45","10037.3","10224.054","10233.443","10510.081","11288.048","11242.484","11825.945","11055.182","11157.756","12216.195","11072.815","11230.811","12155.672","12920.773","13578.799","14172.99","14657.065"
"Dominican Republic","2431.95","2713.834","2863.702","3041.459","3115.731","3071.463","3165.847","3486.59","3601.491","3822.753","3676.419","3770.921","4212.435","4545.987","4682.125","4968.224","5275.758","5751.934","6109.017","6466.996","6819.313","7043.653","7377.481","7313.685","7605.714","8476.29","9425.414","10280.116","10693.392","10760.273","11670.976","12157.893","12207.744","12818.364","13859.072","15186.042","16625.846","17301.383","18774.82","19897.824","18608.133","19799.144","21053.38","22403.294","23784.187","25226.635","26733.218"
"Ecuador","3246.899","3589.671","3750.745","3685.457","3872.983","4062.827","4164.305","3912.954","4362.034","4436.403","4631.359","4919.065","5097.81","5209.583","5435.338","5567.629","5669.708","5922.618","6092.77","5802.444","5908.759","6141.974","6356.346","6537.802","7140.546","7656.826","8092.429","8342.249","8883.963","8840.18","9089.631","9842.963","10280.264","11106.117","11657.901","11014.886","11009.159","11623.715","11881.732","11923.998","11008.713","11330.601","11574.746","11870.285","12192.128","12540.976","12914.45"
"Egypt","2185.506","2377.322","2636.326","2903.525","3161.812","3405.549","3547.531","3709.111","3913.085","4097.689","4311.928","4459.121","4481.642","4576.197","4774.488","4978.222","5208.195","5490.223","5853.914","6170.418","6502.52","6742.356","6929.255","7133.37","7482.131","7900.572","8516.061","9186.528","9821.882","10130.29","10529.378","10694.412","11620.118","11726.031","11350.945","11957.706","11616.339","11158.252","11797.896","12445.206","12789.913","13083.412","13859.94","14679.008","15513.061","16402.432","17339.701"
"El Salvador","2139.239","2182.826","2154.631","2259.923","2358.18","2428.354","2456.894","2550.042","2652.257","2739.427","2928.373","3031.295","3272.646","3497.171","3691.402","3900.417","3961.1","4115.028","4233.768","4352.496","4466.977","4574.612","4692.475","4828.571","4977.973","5247.41","5615.654","5848.439","6063.274","5956.867","6127.076","6465.811","6541.212","6877.156","7233.194","7597.686","8038.626","8454.053","8822.431","9146.495","8421.511","8890.782","9303.821","9708.027","10091.458","10450.683","10810.074"
"Equatorial Guinea","350.916","384.105","387.338","390.586","380.225","417.192","396.739","409.192","421.734","420.536","434.022","429.258","565.302","618.228","712.53","888.002","1330.209","3228.293","3916.284","4823.43","9968.489","15653.531","18260.638","20424.008","26208.359","27988.458","29357.247","33197.76","38072.68","37138.056","32707.142","34023.849","37302.871","34530.773","33482.867","23902.973","20353.105","22449.899","20770.609","19286.403","17788.365","18235.73","17005.478","16639.893","16271.968","15600","15080.918"
"Eritrea","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","751.001","875.195","1091.1","1147.114","1279.48","1405.005","1441.522","1444.767","1263.511","1355.198","1357.428","1283.824","1279.009","1301.597","1286.577","1304.669","1048.45","1163.459","1284.173","1625.492","1669.213","1506.534","1991.679","1589.081","1700.785","1537.449","1758.922","1835.607","1820.706","1862.148","1965.069","2049.411","2133.947","2219.417","2307.187"
"Estonia","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","7508.628","7718.434","8210.656","8904.093","10356.847","11032.4","11113.794","12450.16","13570.185","14816.122","16335.374","18017.797","20458.934","23263.411","25815.075","25044.958","21635.049","22527.309","24780.991","26190.598","27642.593","29117.974","29397.159","31573.899","33937.436","36139.901","38479.757","37745.14","39729.067","42335.48","44821.901","47252.092","49666.231","52168.59"
"Eswatini","1814.57","2062.021","2158.348","2165.691","2225.961","2256.82","2621.249","2829.47","3017.598","3297.463","3632.049","3715.389","3833.256","3966.108","4068.974","4267.964","4416.471","4529.627","4655.474","4816.533","4964.382","5079.639","5336.955","5596.017","5901.65","6393.326","6920.146","7356.577","7506.159","7626.163","7950.179","8239.445","8450.24","8901.401","8995.955","9022.234","8932.228","8650.846","8979.742","9253.536","8956.868","9151.649","9342.13","9555.949","9848.923","10147.748","10461.533"
"Ethiopia","306.166","327.239","341.064","370.515","363.099","321.266","348.144","393.41","396.62","397.066","408.798","379.058","341.343","383.009","391.822","411.464","461.755","469.48","442.534","464.469","507.816","541.122","543.399","510.559","570.806","645.952","723.23","809.252","902.944","985.05","1084.803","1214.286","1314.853","1408.012","1680.731","1861.838","2134.42","2321.437","2519.961","2752.7","2908.295","2972.62","3251.58","3540.967","3843.077","4165.666","4511.238"
